name,nb_review_christmas,nb_all_reviews,cat_name,sub_cat_name,rating,nb_likes,nb_share,total_time,nb_person,difficulty,price,author,Tags,prep_time,cooking_time,tools,ingredients,link_recipe,link_category,last_review,link_image,link_video
Bûche de Noël Chocolat - Poires,3.0,173,Calendrier de l'Avent,buche,4.7,16000,266,297,8.0,difficile,bon marché,romina_14911108,"['Bûche de Noël', 'Bûche au chocolat', 'Noël qui en jette']",90,12,"['1 batteur électrique', '1 fouet', '1 micro-ondes', '1 le lot de 8', '1 Top 3 des batteries de casseroles', '1 four', '1 fourchette', '1 cuillère en bois', '1 lot de 3', '1 film alimentaire', '1 couvercle', '1 papier sulfurisé', '1 moule à cake', '1 couteau', '1 planche à découper']","['4 oeufs  ', '115 g de sucre  ', '120 g de farine  ', ""25 g d'amandes effilées  ""]",https://www.marmiton.org/recettes/recette_buche-de-noel-chocolat-poires_54068.aspx,https://www.marmiton.org/none/comment-preparer-une-buche-de-noel-facile-et-gourmande-s4019495.html,"Et voilà ! Ma première vraie bûche ! Visuellement, wahoo ! Elle a fait sensation. Et elle est très bonne et assez légère effectivement. J'ai vu en dernière minute les commentaires pour imbiber le biscuit: J'ai donc utilisé de la macédoine de fruits et c'était sympa",https://assets.afcdn.com/recipe/20131118/38181_w157h157c1.webp,https://assets.afcdn.com/video13/20181018/v541568_54068-buche-de-noel-chocolat-poires-1080-1080-fr-pad-mp4_HD.mp4
Bûche de Noël Chocolat - Poires,3.0,173,Calendrier de l'Avent,buche,4.7,16000,266,297,8.0,difficile,bon marché,romina_14911108,"['Bûche de Noël', 'Bûche au chocolat', 'Noël qui en jette']",90,12,"['1 batteur électrique', '1 fouet', '1 micro-ondes', '1 le lot de 8', '1 Top 3 des batteries de casseroles', '1 four', '1 fourchette', '1 cuillère en bois', '1 lot de 3', '1 film alimentaire', '1 couvercle', '1 papier sulfurisé', '1 moule à cake', '1 couteau', '1 planche à découper']","['4 oeufs  ', '115 g de sucre  ', '120 g de farine  ', ""25 g d'amandes effilées  ""]",https://www.marmiton.org/recettes/recette_buche-de-noel-chocolat-poires_54068.aspx,https://www.marmiton.org/none/comment-preparer-une-buche-de-noel-facile-et-gourmande-s4019495.html,"Et voilà ! Ma première vraie bûche ! Visuellement, wahoo ! Elle a fait sensation. Et elle est très bonne et assez légère effectivement. J'ai vu en dernière minute les commentaires pour imbiber le biscuit: J'ai donc utilisé de la macédoine de fruits et c'était sympa",https://assets.afcdn.com/recipe/20131118/38181_w157h157c1.webp,https://assets.afcdn.com/video13/20181018/v541568_54068-buche-de-noel-chocolat-poires-1080-1080-fr-pad-mp4_HD.mp4
Bûche de Noël Chocolat - Poires,3.0,173,Calendrier de l'Avent,buche,4.7,16000,266,297,8.0,difficile,bon marché,romina_14911108,"['Bûche de Noël', 'Bûche au chocolat', 'Noël qui en jette']",90,12,"['1 batteur électrique', '1 fouet', '1 micro-ondes', '1 le lot de 8', '1 Top 3 des batteries de casseroles', '1 four', '1 fourchette', '1 cuillère en bois', '1 lot de 3', '1 film alimentaire', '1 couvercle', '1 papier sulfurisé', '1 moule à cake', '1 couteau', '1 planche à découper']","['4 oeufs  ', '115 g de sucre  ', '120 g de farine  ', ""25 g d'amandes effilées  ""]",https://www.marmiton.org/recettes/recette_buche-de-noel-chocolat-poires_54068.aspx,https://www.marmiton.org/none/comment-preparer-une-buche-de-noel-facile-et-gourmande-s4019495.html,"Et voilà ! Ma première vraie bûche ! Visuellement, wahoo ! Elle a fait sensation. Et elle est très bonne et assez légère effectivement. J'ai vu en dernière minute les commentaires pour imbiber le biscuit: J'ai donc utilisé de la macédoine de fruits et c'était sympa",https://assets.afcdn.com/recipe/20131118/38181_w157h157c1.webp,https://assets.afcdn.com/video13/20181018/v541568_54068-buche-de-noel-chocolat-poires-1080-1080-fr-pad-mp4_HD.mp4
Bûche de Noël au pain d'épices,0.0,88,Calendrier de l'Avent,buche,4.4,4900,41,740,8.0,facile,Coût moyen,romina_13710007,"['Végétarien', 'Bûche de Noël', 'Autres bûches', 'Noël / Tribu']",20,720,"['1 Top 3 des batteries de casseroles', '1 congélateur', '1 fouet', '1 moule à cake', '1 saladier', '1 couteau']","['600 g de chocolat noir  ', '40 cl de crème liquide  ', ""8 tranches de pain d'épices  "", ""5 cuillères à soupe de rhum  et d'eau"", '1/2 cuillère à café de mélange 4 épices  ']",https://www.marmiton.org/recettes/recette_buche-de-noel-au-pain-d-epices_13220.aspx,https://www.marmiton.org/none/comment-preparer-une-buche-de-noel-facile-et-gourmande-s4019495.html,Très bon (surtout avec du pain d'épices fait maison) et facile à faire.,https://assets.afcdn.com/recipe/20141127/34950_w157h157c1.webp,https://assets.afcdn.com/video13/20160218/v513896_3852_70_HD.mp4
Bûche de Noël au pain d'épices,0.0,88,Calendrier de l'Avent,buche,4.4,4900,41,740,8.0,facile,Coût moyen,romina_13710007,"['Végétarien', 'Bûche de Noël', 'Autres bûches', 'Noël / Tribu']",20,720,"['1 Top 3 des batteries de casseroles', '1 congélateur', '1 fouet', '1 moule à cake', '1 saladier', '1 couteau']","['600 g de chocolat noir  ', '40 cl de crème liquide  ', ""8 tranches de pain d'épices  "", ""5 cuillères à soupe de rhum  et d'eau"", '1/2 cuillère à café de mélange 4 épices  ']",https://www.marmiton.org/recettes/recette_buche-de-noel-au-pain-d-epices_13220.aspx,https://www.marmiton.org/none/comment-preparer-une-buche-de-noel-facile-et-gourmande-s4019495.html,Très bon (surtout avec du pain d'épices fait maison) et facile à faire.,https://assets.afcdn.com/recipe/20141127/34950_w157h157c1.webp,https://assets.afcdn.com/video13/20160218/v513896_3852_70_HD.mp4
Bûche de Noël au pain d'épices,0.0,88,Calendrier de l'Avent,buche,4.4,4900,41,740,8.0,facile,Coût moyen,romina_13710007,"['Végétarien', 'Bûche de Noël', 'Autres bûches', 'Noël / Tribu']",20,720,"['1 Top 3 des batteries de casseroles', '1 congélateur', '1 fouet', '1 moule à cake', '1 saladier', '1 couteau']","['600 g de chocolat noir  ', '40 cl de crème liquide  ', ""8 tranches de pain d'épices  "", ""5 cuillères à soupe de rhum  et d'eau"", '1/2 cuillère à café de mélange 4 épices  ']",https://www.marmiton.org/recettes/recette_buche-de-noel-au-pain-d-epices_13220.aspx,https://www.marmiton.org/none/comment-preparer-une-buche-de-noel-facile-et-gourmande-s4019495.html,Très bon (surtout avec du pain d'épices fait maison) et facile à faire.,https://assets.afcdn.com/recipe/20141127/34950_w157h157c1.webp,https://assets.afcdn.com/video13/20160218/v513896_3852_70_HD.mp4
Bûche de Noël au pain d'épices,0.0,88,Calendrier de l'Avent,buche,4.4,4900,41,740,8.0,facile,Coût moyen,romina_13710007,"['Végétarien', 'Bûche de Noël', 'Autres bûches', 'Noël / Tribu']",20,720,"['1 Top 3 des batteries de casseroles', '1 congélateur', '1 fouet', '1 moule à cake', '1 saladier', '1 couteau']","['600 g de chocolat noir  ', '40 cl de crème liquide  ', ""8 tranches de pain d'épices  "", ""5 cuillères à soupe de rhum  et d'eau"", '1/2 cuillère à café de mélange 4 épices  ']",https://www.marmiton.org/recettes/recette_buche-de-noel-au-pain-d-epices_13220.aspx,https://www.marmiton.org/none/comment-preparer-une-buche-de-noel-facile-et-gourmande-s4019495.html,Très bon (surtout avec du pain d'épices fait maison) et facile à faire.,https://assets.afcdn.com/recipe/20141127/34950_w157h157c1.webp,https://assets.afcdn.com/video13/20160218/v513896_3852_70_HD.mp4
Bûche de Noël façon grand-mère,10.0,84,Calendrier de l'Avent,buche,4.7,6900,288,45,10.0,Niveau moyen,bon marché,eva_15939480,"['Végétarien', 'Bûche de Noël', 'Autres bûches']",35,10,"['1 batteur électrique', '1 cuillère en bois', '1 four', '1 papier cuisson', '1 micro-ondes', '1 saladier', '1 réfrigérateur compact', '1 cuillère à soupe']","['3 oeufs  ', ""1 blanc d'oeuf  "", '100 g de farine  ', '100 g de sucre  ', '1/2 sachet de levure  ']",https://www.marmiton.org/recettes/recette_buche-de-noel-facon-grand-mere_53009.aspx,https://www.marmiton.org/none/comment-preparer-une-buche-de-noel-facile-et-gourmande-s4019495.html,Merci pour cette recette,https://assets.afcdn.com/recipe/20181017/82894_w157h157c1.webp,https://assets.afcdn.com/video13/20181018/v541566_53009-buche-de-noel-facon-grand-mere-1080-1080-fr-pad-mp4_HD.mp4
Bûche de Noël aux fruits et mascarpone,9.0,184,Calendrier de l'Avent,buche,4.7,16000,825,245,6.0,facile,Coût moyen,julia_16637465,"['Végétarien', 'Bûche de Noël', 'Autres bûches', 'Noël végétarien']",55,10,"['1 Amazon Echo', '1 four', '1 saladier', '1 fouet', '1 cuillère en bois', '1 mixeur', '1 le lot de 8', '1 pinceau', '1 couteau', '1 lot de 3', '1 fourchette', '1 réfrigérateur compact']","['4 oeufs  ', '125 g de farine  ', '100 g de sucre en poudre  ', '2 sachets de sucre vanillé  ', '1 cuillère à café de levure chimique  ', ' Sirop  de fruits', ' Rhum  ']",https://www.marmiton.org/recettes/recette_buche-de-noel-aux-fruits-et-mascarpone_65657.aspx,https://www.marmiton.org/none/comment-preparer-une-buche-de-noel-facile-et-gourmande-s4019495.html,Recette qui a fait un succès,https://assets.afcdn.com/recipe/20130627/11922_w157h157c1.webp,https://assets.afcdn.com/video13/20181018/v541585_65657-buche-de-noel-aux-fruits-et-mascarpone-1080-1080-fr-pad-mp4_HD.mp4
Bûche de Noël aux fruits et mascarpone,9.0,184,Calendrier de l'Avent,buche,4.7,16000,825,245,6.0,facile,Coût moyen,julia_16637465,"['Végétarien', 'Bûche de Noël', 'Autres bûches', 'Noël végétarien']",55,10,"['1 Amazon Echo', '1 four', '1 saladier', '1 fouet', '1 cuillère en bois', '1 mixeur', '1 le lot de 8', '1 pinceau', '1 couteau', '1 lot de 3', '1 fourchette', '1 réfrigérateur compact']","['4 oeufs  ', '125 g de farine  ', '100 g de sucre en poudre  ', '2 sachets de sucre vanillé  ', '1 cuillère à café de levure chimique  ', ' Sirop  de fruits', ' Rhum  ']",https://www.marmiton.org/recettes/recette_buche-de-noel-aux-fruits-et-mascarpone_65657.aspx,https://www.marmiton.org/none/comment-preparer-une-buche-de-noel-facile-et-gourmande-s4019495.html,Recette qui a fait un succès,https://assets.afcdn.com/recipe/20130627/11922_w157h157c1.webp,https://assets.afcdn.com/video13/20181018/v541585_65657-buche-de-noel-aux-fruits-et-mascarpone-1080-1080-fr-pad-mp4_HD.mp4
